"Module","Minimal Version"
"Az.ConfidentialLedger","1.1.0"
"Az.Security","1.8.0"
"Az.MarketplaceOrdering","2.1.0"
"Az.Oracle","1.1.0"
"Az.Functions","4.2.0"
"Az.StorageMover","1.5.0"
"Az.SignalR","2.1.0"
"Az.SecurityInsights","3.2.0"
"Az.DataFactory","1.19.0"
"Az.Cdn","3.3.0"
"Az.StackHCI","2.5.0"
"Az.MachineLearning","1.2.0"
"Az.ManagedServices","3.1.0"
"Az.Migrate","2.6.0"
"Az.NetworkCloud","1.1.0"
"Az.TrafficManager","1.3.0"
"Az.Automanage","1.1.0"
"Az.StreamAnalytics","2.1.0"
"Az.LogicApp","1.6.0"
"Az.Batch","3.7.0"
"Az.CloudService","2.1.0"
"Az.PolicyInsights","1.7.0"
"Az.Kusto","2.4.0"
"Az.DevTestLabs","1.1.0"
"Az.ServiceBus","4.1.0"
"Az.Billing","2.2.0"
"Az.Nginx","1.2.0"
"Az.StackHCIVM","1.1.0"
"Az.Synapse","3.1.0"
"Az.ManagedServiceIdentity","1.3.0"
"Az.Support","2.1.0"
"Az.StorageSync","2.4.0"
"Az.PrivateDns","1.2.0"
"Az.EventHub","5.1.0"
"Az.ArcResourceBridge","1.1.0"
"Az.DataBoxEdge","1.2.0"
"Az.PostgreSql","1.2.0"
"Az.MySql","1.3.0"
"Az.DataLakeAnalytics","1.1.0"
"Az.OperationalInsights","3.3.0"
"Az.DataLakeStore","1.4.0"
"Az.Maintenance","1.5.0"
"Az.RedisCache","1.11.0"
"Az.EventGrid","2.2.0"
"Az.ResourceGraph","1.1.0"
"Az.AppConfiguration","1.4.0"
"Az.AnalysisServices","1.2.0"
"Az.ResourceMover","1.3.0"
"Az.Automation","1.11.0"
"Az.SqlVirtualMachine","2.4.0"
"Az.PowerBIEmbedded","2.1.0"
"Az.CosmosDB","1.16.0"
"Az.Advisor","2.1.0"
"Az.Attestation","2.1.0"
"Az.DataShare","1.1.0"
"Az.Databricks","1.10.0"
"Az.MachineLearningServices","1.2.0"
"Az.FrontDoor","1.12.0"
"Az.Aks","6.1.0"
"Az.ApiManagement","4.1.0"
"Az.ApplicationInsights","2.3.0"
"Az.Websites","3.3.0"
"Az.LoadTesting","1.1.0"
"Az.HealthcareApis","2.1.0"
"Az.DataProtection","2.6.0"
"Az.Media","1.2.0"
"Az.NotificationHubs","1.2.0"
"Az.RedisEnterpriseCache","1.3.0"
"Az.IotHub","2.8.0"
"Az.Relay","2.1.0"
"Az.ContainerRegistry","4.3.0"
"Az.CognitiveServices","1.15.0"
